"filename","cc"
"omp_32_2d_CC_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadWrite.cpp
","0.000071"
"omp_32_2d_CC_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000056"
"omp_32_2d_CC_OMP_E_Data_IntType_Determ_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000027"
"omp_32_2d_CC_OMP_E_Data_IntType_NonDeterm_Dynamic_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000042"
"omp_32_2d_CC_OMP_E_Data_IntType_Determ_Default_NoFieldBug_Atomic_ReadModifyWrite.cpp
","0.000031"
"omp_32_2d_CC_OMP_E_Data_IntType_NonDeterm_Default_NoFieldBug_Atomic_ReadWrite.cpp
","0.000081"
"omp_32_2d_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.011415"
"omp_32_2d_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000002"
"omp_32_2d_CC_OMP_E_Topo_IntType_ReadWrite_NonDeterm_Dynamic_NoBoundsBug_Atomic.cpp
","0.000034"
"omp_32_2d_CC_OMP_E_Topo_IntType_ReadModifyWrite_NonDeterm_Default_NoBoundsBug_Atomic.cpp
","0.000004"
"omp_32_2d_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Dynamic_NoBoundsBug_Atomic.cpp
","0.000001"
"omp_32_2d_CC_OMP_E_Topo_IntType_ReadModifyWrite_Determ_Default_NoBoundsBug_Atomic.cpp
","0.000001"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000182"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000097"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000096"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000089"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000064"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000120"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000068"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Default_NoFieldBug_Atomic_NoBoundsBug2_Dup.cpp
","0.000073"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadModifyWrite_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000060"
"omp_32_2d_CC_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoBoundsBug2_NonDup.cpp
","0.000163"
"omp_32_2d_CC_OMP_V_Data_Pull_IntType_Determ_Dynamic_NoFieldBug_Atomic_NoBoundsBug2.cpp
","0.000035"
