"filename","mis"
"_32_soc_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Block.cpp
","0.019048"
"_32_soc_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Block.cpp
","0.014708"
"_32_soc_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.013696"
"_32_soc_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.015983"
"_32_soc_MIS_CPP_E_Data_IntType_Atomic_MergeDeterm_Block.cpp
","0.013577"
"_32_soc_MIS_CPP_E_Data_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.011258"
"_32_soc_MIS_CPP_E_Topo_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.048536"
"_32_soc_MIS_CPP_E_Topo_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.047903"
"_32_soc_MIS_CPP_E_Topo_IntType_Atomic_CopyDeterm_Block.cpp
","0.131570"
"_32_soc_MIS_CPP_E_Topo_IntType_Atomic_NonDeterm_Block.cpp
","0.130285"
"_32_soc_MIS_CPP_E_Topo_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.050978"
"_32_soc_MIS_CPP_E_Topo_IntType_Atomic_MergeDeterm_Block.cpp
","0.135021"
"_32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.174816"
"_32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.414211"
"_32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.182061"
"_32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_MergeDeterm_Block.cpp
","0.188143"
"_32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_CopyDeterm_Block.cpp
","0.195130"
"_32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_NonDeterm_Block.cpp
","0.410387"
"_32_soc_MIS_CPP_V_Data_Pull_IntType_Atomic_MergeDeterm_Block.cpp
","0.013420"
"_32_soc_MIS_CPP_V_Data_Pull_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.016105"
