"filename","mis"
"__32_soc_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Block.cpp
","0.019048"
"__32_soc_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Block.cpp
","0.014708"
"__32_soc_MIS_CPP_E_Data_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.013696"
"__32_soc_MIS_CPP_E_Data_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.015983"
"__32_soc_MIS_CPP_E_Data_IntType_Atomic_MergeDeterm_Block.cpp
","0.013577"
"__32_soc_MIS_CPP_E_Data_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.011258"
"__32_soc_MIS_CPP_E_Topo_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.048536"
"__32_soc_MIS_CPP_E_Topo_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.047903"
"__32_soc_MIS_CPP_E_Topo_IntType_Atomic_CopyDeterm_Block.cpp
","0.131570"
"__32_soc_MIS_CPP_E_Topo_IntType_Atomic_NonDeterm_Block.cpp
","0.130285"
"__32_soc_MIS_CPP_E_Topo_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.050978"
"__32_soc_MIS_CPP_E_Topo_IntType_Atomic_MergeDeterm_Block.cpp
","0.135021"
"__32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_CopyDeterm_Cyclic.cpp
","0.174816"
"__32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.414211"
"__32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_MergeDeterm_Cyclic.cpp
","0.182061"
"__32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_MergeDeterm_Block.cpp
","0.188143"
"__32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_CopyDeterm_Block.cpp
","0.195130"
"__32_soc_MIS_CPP_V_Data_Push_IntType_Atomic_NonDeterm_Block.cpp
","0.410387"
"__32_soc_MIS_CPP_V_Data_Pull_IntType_Atomic_MergeDeterm_Block.cpp
","0.013420"
"__32_soc_MIS_CPP_V_Data_Pull_IntType_Atomic_NonDeterm_Cyclic.cpp
","0.016105"
