filename,mis
16_rmat_MIS_CUDA_E_Data_push_NonDeterm_IntType_Persist_Atomic_Thread.cu,0.781825
16_rmat_MIS_CUDA_E_Data_push_Determ_IntType_NonPersist_Atomic_Thread.cu,0.761921
16_rmat_MIS_CUDA_E_Data_push_NonDeterm_IntType_NonPersist_Atomic_Thread.cu,0.932113
16_rmat_MIS_CUDA_E_Data_push_NonDeterm_IntType_Persist_CudaAtomic_Thread.cu,0.056243
16_rmat_MIS_CUDA_E_Data_push_Determ_IntType_Persist_CudaAtomic_Thread.cu,0.048712
16_rmat_MIS_CUDA_E_Data_push_Determ_IntType_NonPersist_CudaAtomic_Thread.cu,0.048735
16_rmat_MIS_CUDA_E_Data_push_NonDeterm_IntType_NonPersist_CudaAtomic_Thread.cu,0.055363
16_rmat_MIS_CUDA_E_Data_push_Determ_IntType_Persist_Atomic_Thread.cu,0.636174
16_rmat_MIS_CUDA_E_Topo_push_NonDeterm_IntType_NonPersist_Atomic_Thread.cu,0.119358
16_rmat_MIS_CUDA_E_Topo_push_Determ_IntType_Persist_CudaAtomic_Thread.cu,0.002105
16_rmat_MIS_CUDA_E_Topo_push_Determ_IntType_NonPersist_Atomic_Thread.cu,0.107820
16_rmat_MIS_CUDA_E_Topo_push_NonDeterm_IntType_NonPersist_CudaAtomic_Thread.cu,0.002314
16_rmat_MIS_CUDA_E_Topo_push_Determ_IntType_Persist_Atomic_Thread.cu,0.101619
16_rmat_MIS_CUDA_E_Topo_push_Determ_IntType_NonPersist_CudaAtomic_Thread.cu,0.002105
16_rmat_MIS_CUDA_E_Topo_push_NonDeterm_IntType_Persist_CudaAtomic_Thread.cu,0.002317
16_rmat_MIS_CUDA_E_Topo_push_NonDeterm_IntType_Persist_Atomic_Thread.cu,0.111733
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_CudaAtomic_Thread.cu,0.123977
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_Atomic_Warp.cu,6.031675
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_CudaAtomic_Warp.cu,0.042908
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_Atomic_Block.cu,1.159389
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_Atomic_Thread.cu,6.823321
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_CudaAtomic_Block.cu,0.042469
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_CudaAtomic_Warp.cu,0.042925
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_CudaAtomic_Block.cu,0.053482
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_CudaAtomic_Block.cu,0.041273
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_CudaAtomic_Thread.cu,0.097116
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_Atomic_Warp.cu,3.828396
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_Atomic_Thread.cu,4.939875
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_CudaAtomic_Warp.cu,0.055409
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_Atomic_Block.cu,0.770531
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_CudaAtomic_Thread.cu,0.104667
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_CudaAtomic_Block.cu,0.056024
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_Atomic_Block.cu,1.164942
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_Atomic_Block.cu,0.788595
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_CudaAtomic_Warp.cu,0.055676
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_Atomic_Warp.cu,3.340327
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_CudaAtomic_Thread.cu,0.118221
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_Atomic_Thread.cu,3.820821
16_rmat_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_Atomic_Thread.cu,3.053707
16_rmat_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_Atomic_Warp.cu,5.175848
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_NonPersist_CudaAtomic_Warp.cu,0.010575
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_NonPersist_Atomic_Warp.cu,0.768817
16_rmat_MIS_CUDA_V_Data_Pull_Determ_IntType_NonPersist_Atomic_Warp.cu,0.665479
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_Persist_CudaAtomic_Warp.cu,0.010430
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_NonPersist_Atomic_Block.cu,0.193429
16_rmat_MIS_CUDA_V_Data_Pull_Determ_IntType_Persist_Atomic_Thread.cu,0.302921
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_Persist_CudaAtomic_Thread.cu,0.042581
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_Persist_Atomic_Block.cu,0.186074
16_rmat_MIS_CUDA_V_Data_Pull_Determ_IntType_NonPersist_CudaAtomic_Warp.cu,0.009563
16_rmat_MIS_CUDA_V_Data_Pull_Determ_IntType_NonPersist_CudaAtomic_Block.cu,0.009302
16_rmat_MIS_CUDA_V_Data_Pull_Determ_IntType_NonPersist_Atomic_Thread.cu,0.328613
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_Persist_Atomic_Thread.cu,0.325200
16_rmat_MIS_CUDA_V_Data_Pull_Determ_IntType_Persist_CudaAtomic_Block.cu,0.009134
16_rmat_MIS_CUDA_V_Data_Pull_Determ_IntType_Persist_CudaAtomic_Warp.cu,0.009538
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_NonPersist_CudaAtomic_Block.cu,0.010526
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_NonPersist_Atomic_Thread.cu,0.366507
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_NonPersist_CudaAtomic_Thread.cu,0.041621
16_rmat_MIS_CUDA_V_Data_Pull_NonDeterm_IntType_Persist_CudaAtomic_Block.cu,0.010264
