"filename","mis"
"2d_3090_MIS_CUDA_E_Data_push_Determ_IntType_Persist_Atomic_Thread.cu
","1.544492"
"2d_3090_MIS_CUDA_E_Data_push_NonDeterm_IntType_NonPersist_CudaAtomic_Thread.cu
","0.835702"
"2d_3090_MIS_CUDA_E_Data_push_NonDeterm_IntType_Persist_CudaAtomic_Thread.cu
","0.734351"
"2d_3090_MIS_CUDA_E_Data_push_Determ_IntType_NonPersist_Atomic_Thread.cu
","1.711686"
"2d_3090_MIS_CUDA_E_Data_push_Determ_IntType_NonPersist_CudaAtomic_Thread.cu
","0.763105"
"2d_3090_MIS_CUDA_E_Data_push_NonDeterm_IntType_NonPersist_Atomic_Thread.cu
","2.117336"
"2d_3090_MIS_CUDA_E_Data_push_NonDeterm_IntType_Persist_Atomic_Thread.cu
","1.918593"
"2d_3090_MIS_CUDA_E_Data_push_Determ_IntType_Persist_CudaAtomic_Thread.cu
","0.666064"
"2d_3090_MIS_CUDA_E_Topo_push_NonDeterm_IntType_Persist_CudaAtomic_Thread.cu
","0.132463"
"2d_3090_MIS_CUDA_E_Topo_push_NonDeterm_IntType_NonPersist_CudaAtomic_Thread.cu
","0.183942"
"2d_3090_MIS_CUDA_E_Topo_push_NonDeterm_IntType_NonPersist_Atomic_Thread.cu
","0.794503"
"2d_3090_MIS_CUDA_E_Topo_push_Determ_IntType_NonPersist_Atomic_Thread.cu
","0.566704"
"2d_3090_MIS_CUDA_E_Topo_push_Determ_IntType_Persist_Atomic_Thread.cu
","0.533784"
"2d_3090_MIS_CUDA_E_Topo_push_NonDeterm_IntType_Persist_Atomic_Thread.cu
","0.744529"
"2d_3090_MIS_CUDA_E_Topo_push_Determ_IntType_Persist_CudaAtomic_Thread.cu
","0.107084"
"2d_3090_MIS_CUDA_E_Topo_push_Determ_IntType_NonPersist_CudaAtomic_Thread.cu
","0.146245"
"2d_3090_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_Atomic_Warp.cu
","3.193756"
"2d_3090_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_CudaAtomic_Thread.cu
","1.268607"
"2d_3090_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_Atomic_Block.cu
","0.370454"
"2d_3090_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_CudaAtomic_Block.cu
","0.055134"
"2d_3090_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_Atomic_Block.cu
","0.472136"
"2d_3090_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_CudaAtomic_Warp.cu
","0.347879"
"2d_3090_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_CudaAtomic_Warp.cu
","0.234312"
"2d_3090_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_Atomic_Block.cu
","0.314698"
"2d_3090_MIS_CUDA_V_Data_Push_NonDeterm_IntType_NonPersist_CudaAtomic_Warp.cu
","0.424368"
"2d_3090_MIS_CUDA_V_Data_Push_NonDeterm_IntType_Persist_Atomic_Warp.cu
","4.599570"
"2d_3090_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_Atomic_Thread.cu
","3.785192"
"2d_3090_MIS_CUDA_V_Data_Push_Determ_IntType_NonPersist_Atomic_Warp.cu
","2.162130"
"2d_3090_MIS_CUDA_V_Data_Push_Determ_IntType_Persist_Atomic_Warp.cu
","2.883832"
