"filename","mis"
"omp_32_2d_MIS_OMP_E_Data_IntType_Atomic_CopyDeterm_Dynamic_NoFieldBug.cpp
","0.003190"
"omp_32_2d_MIS_OMP_E_Data_IntType_Atomic_CopyDeterm_Default_NoFieldBug.cpp
","0.017004"
"omp_32_2d_MIS_OMP_E_Data_IntType_Atomic_NonDeterm_Dynamic_NoFieldBug.cpp
","0.003261"
"omp_32_2d_MIS_OMP_E_Data_IntType_Atomic_MergeDeterm_Dynamic_NoFieldBug.cpp
","0.002919"
"omp_32_2d_MIS_OMP_E_Data_IntType_Atomic_MergeDeterm_Default_NoFieldBug.cpp
","0.012672"
"omp_32_2d_MIS_OMP_E_Data_IntType_Atomic_NonDeterm_Default_NoFieldBug.cpp
","0.015123"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Dynamic_NoBoundsBug_Block.cpp
","0.001006"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Default_NoBoundsBug.cpp
","0.097469"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Default_NoBoundsBug_Cyclic.cpp
","0.108197"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Dynamic_NoBoundsBug.cpp
","0.001046"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Dynamic_NoBoundsBug.cpp
","0.001045"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Default_NoBoundsBug_Cyclic.cpp
","0.082467"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Default_NoBoundsBug.cpp
","0.083867"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Default_NoBoundsBug_Cyclic.cpp
","0.096504"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Dynamic_NoBoundsBug_Block.cpp
","0.001006"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Dynamic_NoBoundsBug.cpp
","0.001034"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Dynamic_NoBoundsBug_Cyclic.cpp
","0.001021"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Default_NoBoundsBug_Block.cpp
","0.097379"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Default_NoBoundsBug_Block.cpp
","0.080915"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Dynamic_NoBoundsBug_Cyclic.cpp
","0.001028"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Dynamic_NoBoundsBug_Block.cpp
","0.001027"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Default_NoBoundsBug.cpp
","0.106356"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Default_NoBoundsBug_Block.cpp
","0.105427"
"omp_32_2d_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Dynamic_NoBoundsBug_Cyclic.cpp
","0.001026"
"omp_32_2d_MIS_OMP_V_Data_Push_IntType_Atomic_CopyDeterm_Default_NoFieldBug.cpp
","0.070655"
"omp_32_2d_MIS_OMP_V_Data_Push_IntType_Atomic_NonDeterm_Dynamic_NoFieldBug.cpp
","0.030305"
"omp_32_2d_MIS_OMP_V_Data_Push_IntType_Atomic_MergeDeterm_Default_NoFieldBug.cpp
","0.041034"
"omp_32_2d_MIS_OMP_V_Data_Push_IntType_Atomic_NonDeterm_Default_NoFieldBug.cpp
","0.033010"
"omp_32_2d_MIS_OMP_V_Data_Push_IntType_Atomic_CopyDeterm_Dynamic_NoFieldBug.cpp
","0.021182"
"omp_32_2d_MIS_OMP_V_Data_Push_IntType_Atomic_MergeDeterm_Dynamic_NoFieldBug.cpp
","0.013042"
"omp_32_2d_MIS_OMP_V_Data_Pull_IntType_Atomic_MergeDeterm_Default_NoFieldBug.cpp
","0.000934"
"omp_32_2d_MIS_OMP_V_Data_Pull_IntType_Atomic_MergeDeterm_Dynamic_NoFieldBug.cpp
","0.000893"
"omp_32_2d_MIS_OMP_V_Data_Pull_IntType_Atomic_NonDeterm_Dynamic_NoFieldBug.cpp
","0.000840"
"omp_32_2d_MIS_OMP_V_Data_Pull_IntType_Atomic_NonDeterm_Default_NoFieldBug.cpp
","0.001034"
"omp_32_2d_MIS_OMP_V_Data_Pull_IntType_Atomic_CopyDeterm_Default_NoFieldBug.cpp
","0.000932"
"omp_32_2d_MIS_OMP_V_Data_Pull_IntType_Atomic_CopyDeterm_Dynamic_NoFieldBug.cpp
","0.000819"
"omp_32_2d_MIS_OMP_V_Topo_Push_IntType_Atomic_CopyDeterm_Default_NoBoundsBug.cpp
","0.290633"
"omp_32_2d_MIS_OMP_V_Topo_Push_IntType_Atomic_NonDeterm_Dynamic_NoBoundsBug.cpp
","0.009255"
"omp_32_2d_MIS_OMP_V_Topo_Push_IntType_Atomic_NonDeterm_Default_NoBoundsBug.cpp
","0.089977"
"omp_32_2d_MIS_OMP_V_Topo_Push_IntType_Atomic_CopyDeterm_Dynamic_NoBoundsBug.cpp
","0.009383"
"omp_32_2d_MIS_OMP_V_Topo_Push_IntType_Atomic_MergeDeterm_Dynamic_NoBoundsBug.cpp
","0.009194"
"omp_32_2d_MIS_OMP_V_Topo_Push_IntType_Atomic_MergeDeterm_Default_NoBoundsBug.cpp
","0.296831"
"omp_32_2d_MIS_OMP_V_Topo_Pull_IntType_Atomic_NonDeterm_Dynamic_NoBoundsBug.cpp
","0.006771"
"omp_32_2d_MIS_OMP_V_Topo_Pull_IntType_Atomic_CopyDeterm_Default_NoBoundsBug.cpp
","0.261798"
"omp_32_2d_MIS_OMP_V_Topo_Pull_IntType_Atomic_CopyDeterm_Dynamic_NoBoundsBug.cpp
","0.004500"
"omp_32_2d_MIS_OMP_V_Topo_Pull_IntType_Atomic_MergeDeterm_Dynamic_NoBoundsBug.cpp
","0.003750"
"omp_32_2d_MIS_OMP_V_Topo_Pull_IntType_Atomic_MergeDeterm_Default_NoBoundsBug.cpp
","0.300072"
"omp_32_2d_MIS_OMP_V_Topo_Pull_IntType_Atomic_NonDeterm_Default_NoBoundsBug.cpp
","0.429567"
"omp_32_ny_MIS_OMP_E_Data_IntType_Atomic_CopyDeterm_Dynamic_NoFieldBug.cpp
","0.003439"
"omp_32_ny_MIS_OMP_E_Data_IntType_Atomic_CopyDeterm_Default_NoFieldBug.cpp
","0.012665"
"omp_32_ny_MIS_OMP_E_Data_IntType_Atomic_NonDeterm_Dynamic_NoFieldBug.cpp
","0.003925"
"omp_32_ny_MIS_OMP_E_Data_IntType_Atomic_MergeDeterm_Dynamic_NoFieldBug.cpp
","0.003372"
"omp_32_ny_MIS_OMP_E_Data_IntType_Atomic_MergeDeterm_Default_NoFieldBug.cpp
","0.016540"
"omp_32_ny_MIS_OMP_E_Data_IntType_Atomic_NonDeterm_Default_NoFieldBug.cpp
","0.009518"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Dynamic_NoBoundsBug_Block.cpp
","0.001028"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Default_NoBoundsBug.cpp
","0.201019"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Default_NoBoundsBug_Cyclic.cpp
","0.231117"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Dynamic_NoBoundsBug.cpp
","0.001017"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Dynamic_NoBoundsBug.cpp
","0.001014"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Default_NoBoundsBug_Cyclic.cpp
","0.274525"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Default_NoBoundsBug.cpp
","0.289149"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Default_NoBoundsBug_Cyclic.cpp
","0.186321"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Dynamic_NoBoundsBug_Block.cpp
","0.001005"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Dynamic_NoBoundsBug.cpp
","0.001006"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Dynamic_NoBoundsBug_Cyclic.cpp
","0.000989"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_CopyDeterm_Default_NoBoundsBug_Block.cpp
","0.202076"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Default_NoBoundsBug_Block.cpp
","0.274887"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_NonDeterm_Dynamic_NoBoundsBug_Cyclic.cpp
","0.001034"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Dynamic_NoBoundsBug_Block.cpp
","0.001035"
"omp_32_ny_MIS_OMP_E_Topo_IntType_Atomic_MergeDeterm_Default_NoBoundsBug.cpp
","0.234646"
