"filename","pr"
"_32_rmat_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.022983"
"_32_rmat_PR-Push_FloatType_Reduction_Block.cpp
","0.028492"
"_32_rmat_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.028652"
"_32_rmat_PR-Push_FloatType_Critical_Block.cpp
","0.028592"
"_32_rmat_PR-Push_FloatType_Critical_Cyclic.cpp
","0.022796"
"_32_rmat_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.022878"
"_32_rmat_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.153626"
"_32_rmat_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.112784"
"_32_rmat_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.157811"
"_32_rmat_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.079131"
"_32_rmat_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.101677"
"_32_rmat_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.099122"
"_32_rmat_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.116268"
"_32_rmat_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.104299"
"_32_rmat_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.078716"
"_32_rmat_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.117458"
"_32_rmat_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.164943"
"_32_rmat_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.078532"
"_32_2d_pr-push_FloatType_Reduction_Cyclic.cpp
","0.086033"
"_32_2d_pr-push_FloatType_Reduction_Block.cpp
","0.113695"
"_32_2d_pr-push_FloatType_AtomicAdd_Block.cpp
","0.108927"
"_32_2d_pr-push_FloatType_Critical_Block.cpp
","0.110846"
"_32_2d_pr-push_FloatType_Critical_Cyclic.cpp
","0.079131"
"_32_2d_pr-push_FloatType_AtomicAdd_Cyclic.cpp
","0.088858"
"_32_2d_pr-pull_FloatType_Critical_Block_Determin.cpp
","0.422659"
"_32_2d_pr-pull_FloatType_Critical_Block_NonDetermin.cpp
","0.463057"
"_32_2d_pr-pull_FloatType_Reduction_Block_Determin.cpp
","0.425056"
"_32_2d_pr-pull_FloatType_AtomicAdd_Cyclic_NonDetermin.cpp
","0.236080"
"_32_2d_pr-pull_FloatType_Critical_Cyclic_Determin.cpp
","0.249195"
"_32_2d_pr-pull_FloatType_AtomicAdd_Cyclic_Determin.cpp
","0.248441"
"_32_2d_pr-pull_FloatType_AtomicAdd_Block_NonDetermin.cpp
","0.466350"
"_32_2d_pr-pull_FloatType_Reduction_Cyclic_Determin.cpp
","0.255593"
"_32_2d_pr-pull_FloatType_Critical_Cyclic_NonDetermin.cpp
","0.234248"
"_32_2d_pr-pull_FloatType_Reduction_Block_NonDetermin.cpp
","0.468646"
"_32_2d_pr-pull_FloatType_AtomicAdd_Block_Determin.cpp
","0.425917"
"_32_2d_pr-pull_FloatType_Reduction_Cyclic_NonDetermin.cpp
","0.202172"
"_32_co_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.040226"
"_32_co_PR-Push_FloatType_Reduction_Block.cpp
","0.034906"
"_32_co_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.035105"
"_32_co_PR-Push_FloatType_Critical_Block.cpp
","0.034469"
"_32_co_PR-Push_FloatType_Critical_Cyclic.cpp
","0.040237"
"_32_co_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.039691"
"_32_co_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.157720"
"_32_co_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.225269"
"_32_co_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.156946"
"_32_co_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.154250"
"_32_co_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.138719"
"_32_co_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.138770"
"_32_co_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.220293"
"_32_co_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.135509"
"_32_co_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.152987"
"_32_co_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.230582"
"_32_co_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.152689"
"_32_co_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.154814"
"_32_soc_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.023613"
"_32_soc_PR-Push_FloatType_Reduction_Block.cpp
","0.017642"
"_32_soc_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.017705"
"_32_soc_PR-Push_FloatType_Critical_Block.cpp
","0.017585"
"_32_soc_PR-Push_FloatType_Critical_Cyclic.cpp
","0.023828"
"_32_soc_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.023917"
"_32_soc_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.093861"
"_32_soc_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.058296"
"_32_soc_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.095206"
"_32_soc_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.062973"
"_32_soc_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.087730"
"_32_soc_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.087823"
"_32_soc_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.058986"
"_32_soc_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.091384"
