"filename","pr"
"__32_rmat_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.022983"
"__32_rmat_PR-Push_FloatType_Reduction_Block.cpp
","0.028492"
"__32_rmat_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.028652"
"__32_rmat_PR-Push_FloatType_Critical_Block.cpp
","0.028592"
"__32_rmat_PR-Push_FloatType_Critical_Cyclic.cpp
","0.022796"
"__32_rmat_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.022878"
"__32_rmat_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.153626"
"__32_rmat_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.112784"
"__32_rmat_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.157811"
"__32_rmat_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.079131"
"__32_rmat_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.101677"
"__32_rmat_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.099122"
"__32_rmat_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.116268"
"__32_rmat_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.104299"
"__32_rmat_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.078716"
"__32_rmat_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.117458"
"__32_rmat_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.164943"
"__32_rmat_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.078532"
"__32_2d_pr-push_FloatType_Reduction_Cyclic.cpp
","0.086033"
"__32_2d_pr-push_FloatType_Reduction_Block.cpp
","0.113695"
"__32_2d_pr-push_FloatType_AtomicAdd_Block.cpp
","0.108927"
"__32_2d_pr-push_FloatType_Critical_Block.cpp
","0.110846"
"__32_2d_pr-push_FloatType_Critical_Cyclic.cpp
","0.079131"
"__32_2d_pr-push_FloatType_AtomicAdd_Cyclic.cpp
","0.088858"
"__32_2d_pr-pull_FloatType_Critical_Block_Determin.cpp
","0.422659"
"__32_2d_pr-pull_FloatType_Critical_Block_NonDetermin.cpp
","0.463057"
"__32_2d_pr-pull_FloatType_Reduction_Block_Determin.cpp
","0.425056"
"__32_2d_pr-pull_FloatType_AtomicAdd_Cyclic_NonDetermin.cpp
","0.236080"
"__32_2d_pr-pull_FloatType_Critical_Cyclic_Determin.cpp
","0.249195"
"__32_2d_pr-pull_FloatType_AtomicAdd_Cyclic_Determin.cpp
","0.248441"
"__32_2d_pr-pull_FloatType_AtomicAdd_Block_NonDetermin.cpp
","0.466350"
"__32_2d_pr-pull_FloatType_Reduction_Cyclic_Determin.cpp
","0.255593"
"__32_2d_pr-pull_FloatType_Critical_Cyclic_NonDetermin.cpp
","0.234248"
"__32_2d_pr-pull_FloatType_Reduction_Block_NonDetermin.cpp
","0.468646"
"__32_2d_pr-pull_FloatType_AtomicAdd_Block_Determin.cpp
","0.425917"
"__32_2d_pr-pull_FloatType_Reduction_Cyclic_NonDetermin.cpp
","0.202172"
"__32_co_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.040226"
"__32_co_PR-Push_FloatType_Reduction_Block.cpp
","0.034906"
"__32_co_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.035105"
"__32_co_PR-Push_FloatType_Critical_Block.cpp
","0.034469"
"__32_co_PR-Push_FloatType_Critical_Cyclic.cpp
","0.040237"
"__32_co_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.039691"
"__32_co_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.157720"
"__32_co_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.225269"
"__32_co_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.156946"
"__32_co_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.154250"
"__32_co_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.138719"
"__32_co_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.138770"
"__32_co_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.220293"
"__32_co_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.135509"
"__32_co_PR-Pull_FloatType_Critical_Cyclic_NonDeterm.cpp
","0.152987"
"__32_co_PR-Pull_FloatType_Reduction_Block_NonDeterm.cpp
","0.230582"
"__32_co_PR-Pull_FloatType_AtomicAdd_Block_Determ.cpp
","0.152689"
"__32_co_PR-Pull_FloatType_Reduction_Cyclic_NonDeterm.cpp
","0.154814"
"__32_soc_PR-Push_FloatType_Reduction_Cyclic.cpp
","0.023613"
"__32_soc_PR-Push_FloatType_Reduction_Block.cpp
","0.017642"
"__32_soc_PR-Push_FloatType_AtomicAdd_Block.cpp
","0.017705"
"__32_soc_PR-Push_FloatType_Critical_Block.cpp
","0.017585"
"__32_soc_PR-Push_FloatType_Critical_Cyclic.cpp
","0.023828"
"__32_soc_PR-Push_FloatType_AtomicAdd_Cyclic.cpp
","0.023917"
"__32_soc_PR-Pull_FloatType_Critical_Block_Determ.cpp
","0.093861"
"__32_soc_PR-Pull_FloatType_Critical_Block_NonDeterm.cpp
","0.058296"
"__32_soc_PR-Pull_FloatType_Reduction_Block_Determ.cpp
","0.095206"
"__32_soc_PR-Pull_FloatType_AtomicAdd_Cyclic_NonDeterm.cpp
","0.062973"
"__32_soc_PR-Pull_FloatType_Critical_Cyclic_Determ.cpp
","0.087730"
"__32_soc_PR-Pull_FloatType_AtomicAdd_Cyclic_Determ.cpp
","0.087823"
"__32_soc_PR-Pull_FloatType_AtomicAdd_Block_NonDeterm.cpp
","0.058986"
"__32_soc_PR-Pull_FloatType_Reduction_Cyclic_Determ.cpp
","0.091384"
