"filename","pr"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Thread_BlockAdd.cu
","0.098895"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Thread_Reduction.cu
","0.099578"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Warp_Reduction.cu
","0.051700"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Thread_GlobalAdd.cu
","0.077259"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Block_Reduction.cu
","0.022086"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Block_BlockAdd.cu
","0.014048"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Thread_Reduction.cu
","0.100572"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Block_BlockAdd.cu
","0.004098"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Warp_Reduction.cu
","0.052521"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Thread_GlobalAdd.cu
","0.077871"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Warp_GlobalAdd.cu
","0.005322"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Block_GlobalAdd.cu
","0.000337"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Warp_GlobalAdd.cu
","0.005333"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Warp_BlockAdd.cu
","0.030432"
"16_rmat_PR_CUDA_Push_FloatType_Persist_Thread_BlockAdd.cu
","0.097360"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Block_GlobalAdd.cu
","0.000250"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Warp_BlockAdd.cu
","0.034030"
"16_rmat_PR_CUDA_Push_FloatType_NonPersist_Block_Reduction.cu
","0.014561"
"16_rmat_PR_CUDA_Pull_FloatType_Persist_Warp_NonDeterm_BlockAdd.cu
","0.004690"
"16_rmat_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_GlobalAdd.cu
","0.060230"
"16_rmat_PR_CUDA_Pull_FloatType_NonPersist_Warp_NonDeterm_Reduction.cu
","0.264743"
"16_rmat_PR_CUDA_Pull_FloatType_NonPersist_Block_Determ_BlockAdd.cu
","0.000368"
"16_rmat_PR_CUDA_Pull_FloatType_NonPersist_Block_NonDeterm_BlockAdd.cu
","0.000680"
