"filename","sssp"
"omp_32_2d_SSSP_OMP_E_Data_Push_NonDeterm_IntType_ReadWrite_Atomic_NonDup_NoFieldBug_Dynamic.cpp
","0.002778"
"omp_32_2d_SSSP_OMP_E_Data_Push_NonDeterm_IntType_ReadModifyWrite_Atomic_NonDup_NoFieldBug_Default.cpp
","3988.691904"
"omp_32_2d_SSSP_OMP_E_Data_Push_NonDeterm_IntType_ReadModifyWrite_Atomic_NonDup_NoFieldBug_Dynamic.cpp
","2085.367026"
"omp_32_2d_SSSP_OMP_E_Data_Push_NonDeterm_IntType_ReadWrite_Atomic_NonDup_NoFieldBug_Default.cpp
","0.002737"
"omp_32_2d_SSSP_OMP_E_Data_Push_Determ_IntType_ReadModifyWrite_Atomic_NonDup_NoFieldBug_Dynamic.cpp
","0.000458"
"omp_32_2d_SSSP_OMP_E_Data_Push_Determ_IntType_ReadModifyWrite_Atomic_NonDup_NoFieldBug_Default.cpp
","0.000459"
"omp_32_2d_SSSP_OMP_E_Topo_Push_NonDeterm_IntType_ReadModifyWrite_Atomic_NoBoundsBug_Dynamic_NoRangeBug.cpp
","0.000246"
"omp_32_2d_SSSP_OMP_E_Topo_Push_Determ_IntType_ReadModifyWrite_Atomic_NoBoundsBug_Dynamic_NoRangeBug.cpp
","0.000146"
"omp_32_2d_SSSP_OMP_E_Topo_Push_NonDeterm_IntType_ReadModifyWrite_Atomic_NoBoundsBug_Default_NoRangeBug.cpp
","0.000247"
"omp_32_2d_SSSP_OMP_E_Topo_Push_NonDeterm_IntType_ReadWrite_Atomic_NoBoundsBug_Dynamic_NoRangeBug.cpp
","0.000246"
"omp_32_2d_SSSP_OMP_E_Topo_Push_NonDeterm_IntType_ReadWrite_Atomic_NoBoundsBug_Default_NoRangeBug.cpp
","0.000247"
"omp_32_2d_SSSP_OMP_E_Topo_Push_Determ_IntType_ReadModifyWrite_Atomic_NoBoundsBug_Default_NoRangeBug.cpp
","0.000149"
"omp_32_2d_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.001152"
"omp_32_2d_SSSP_OMP_V_Data_Push_IntType_ReadModifyWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_Dup.cpp
","0.001533"
"omp_32_2d_SSSP_OMP_V_Data_Push_IntType_ReadWrite_NonDeterm_Dynamic_NoFieldBug_Atomic_NoRangeBug_NoBoundsBug2_NonDup.cpp
","0.000834"
