"filename","tc"
"_32_rmat_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.043843"
"_32_rmat_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.045070"
"_32_rmat_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.023930"
"_32_rmat_TC_CPP_E_IntType_Reduction_Block.cpp
","0.024631"
"_32_rmat_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.044207"
"_32_rmat_TC_CPP_E_IntType_Critical_Block.cpp
","0.026979"
"_32_rmat_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.123799"
"_32_rmat_TC_CPP_V_IntType_Reduction_Block.cpp
","0.054058"
"_32_rmat_TC_CPP_V_IntType_Critical_Block.cpp
","0.056485"
"_32_rmat_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.117850"
"_32_rmat_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.119907"
"_32_rmat_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.056077"
"_32_2d_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.614390"
"_32_2d_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.603686"
"_32_2d_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.291877"
"_32_2d_TC_CPP_E_IntType_Reduction_Block.cpp
","0.291636"
"_32_2d_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.635757"
"_32_2d_TC_CPP_E_IntType_Critical_Block.cpp
","0.293208"
"_32_2d_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.678470"
"_32_2d_TC_CPP_V_IntType_Reduction_Block.cpp
","0.398684"
"_32_2d_TC_CPP_V_IntType_Critical_Block.cpp
","0.410683"
"_32_2d_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.648147"
"_32_2d_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.681567"
"_32_2d_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.388198"
"_32_co_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.070011"
"_32_co_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.072665"
"_32_co_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.068797"
"_32_co_TC_CPP_E_IntType_Reduction_Block.cpp
","0.072734"
"_32_co_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.071685"
"_32_co_TC_CPP_E_IntType_Critical_Block.cpp
","0.080915"
"_32_co_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.350191"
"_32_co_TC_CPP_V_IntType_Reduction_Block.cpp
","0.076072"
"_32_co_TC_CPP_V_IntType_Critical_Block.cpp
","0.099265"
"_32_co_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.283478"
"_32_co_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.306854"
"_32_co_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.089300"
"_32_soc_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.046970"
"_32_soc_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.048046"
"_32_soc_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.025462"
"_32_soc_TC_CPP_E_IntType_Reduction_Block.cpp
","0.027879"
"_32_soc_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.046572"
"_32_soc_TC_CPP_E_IntType_Critical_Block.cpp
","0.030892"
"_32_soc_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.114927"
"_32_soc_TC_CPP_V_IntType_Reduction_Block.cpp
","0.008842"
"_32_soc_TC_CPP_V_IntType_Critical_Block.cpp
","0.010827"
"_32_soc_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.098055"
"_32_soc_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.111510"
"_32_soc_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.010299"
"_32_ny_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.364524"
"_32_ny_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.366900"
"_32_ny_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.431992"
"_32_ny_TC_CPP_E_IntType_Reduction_Block.cpp
","0.443842"
"_32_ny_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.369473"
"_32_ny_TC_CPP_E_IntType_Critical_Block.cpp
","0.452375"
"_32_ny_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.426944"
"_32_ny_TC_CPP_V_IntType_Reduction_Block.cpp
","0.395280"
"_32_ny_TC_CPP_V_IntType_Critical_Block.cpp
","0.406528"
"_32_ny_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.374776"
"_32_ny_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.367437"
"_32_ny_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.405400"
"_16_rmat_TC_CPP_E_IntType_Reduction_Block.cpp
","0.015870"
"_16_rmat_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.016307"
"_16_rmat_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.029632"
"_16_rmat_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.028088"
"_16_rmat_TC_CPP_E_IntType_Critical_Block.cpp
","0.016134"
"_16_rmat_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.028637"
"_16_rmat_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.044481"
"_16_rmat_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.046849"
"_16_rmat_TC_CPP_V_IntType_Critical_Block.cpp
","0.028541"
"_16_rmat_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.027113"
"_16_rmat_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.043140"
"_16_rmat_TC_CPP_V_IntType_Reduction_Block.cpp
","0.027518"
