"filename","tc"
"__32_rmat_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.043843"
"__32_rmat_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.045070"
"__32_rmat_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.023930"
"__32_rmat_TC_CPP_E_IntType_Reduction_Block.cpp
","0.024631"
"__32_rmat_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.044207"
"__32_rmat_TC_CPP_E_IntType_Critical_Block.cpp
","0.026979"
"__32_rmat_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.123799"
"__32_rmat_TC_CPP_V_IntType_Reduction_Block.cpp
","0.054058"
"__32_rmat_TC_CPP_V_IntType_Critical_Block.cpp
","0.056485"
"__32_rmat_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.117850"
"__32_rmat_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.119907"
"__32_rmat_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.056077"
"__32_2d_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.614390"
"__32_2d_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.603686"
"__32_2d_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.291877"
"__32_2d_TC_CPP_E_IntType_Reduction_Block.cpp
","0.291636"
"__32_2d_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.635757"
"__32_2d_TC_CPP_E_IntType_Critical_Block.cpp
","0.293208"
"__32_2d_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.678470"
"__32_2d_TC_CPP_V_IntType_Reduction_Block.cpp
","0.398684"
"__32_2d_TC_CPP_V_IntType_Critical_Block.cpp
","0.410683"
"__32_2d_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.648147"
"__32_2d_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.681567"
"__32_2d_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.388198"
"__32_co_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.070011"
"__32_co_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.072665"
"__32_co_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.068797"
"__32_co_TC_CPP_E_IntType_Reduction_Block.cpp
","0.072734"
"__32_co_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.071685"
"__32_co_TC_CPP_E_IntType_Critical_Block.cpp
","0.080915"
"__32_co_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.350191"
"__32_co_TC_CPP_V_IntType_Reduction_Block.cpp
","0.076072"
"__32_co_TC_CPP_V_IntType_Critical_Block.cpp
","0.099265"
"__32_co_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.283478"
"__32_co_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.306854"
"__32_co_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.089300"
"__32_soc_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.046970"
"__32_soc_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.048046"
"__32_soc_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.025462"
"__32_soc_TC_CPP_E_IntType_Reduction_Block.cpp
","0.027879"
"__32_soc_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.046572"
"__32_soc_TC_CPP_E_IntType_Critical_Block.cpp
","0.030892"
"__32_soc_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.114927"
"__32_soc_TC_CPP_V_IntType_Reduction_Block.cpp
","0.008842"
"__32_soc_TC_CPP_V_IntType_Critical_Block.cpp
","0.010827"
"__32_soc_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.098055"
"__32_soc_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.111510"
"__32_soc_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.010299"
"__32_ny_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.364524"
"__32_ny_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.366900"
"__32_ny_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.431992"
"__32_ny_TC_CPP_E_IntType_Reduction_Block.cpp
","0.443842"
"__32_ny_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.369473"
"__32_ny_TC_CPP_E_IntType_Critical_Block.cpp
","0.452375"
"__32_ny_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.426944"
"__32_ny_TC_CPP_V_IntType_Reduction_Block.cpp
","0.395280"
"__32_ny_TC_CPP_V_IntType_Critical_Block.cpp
","0.406528"
"__32_ny_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.374776"
"__32_ny_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.367437"
"__32_ny_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.405400"
"__16_rmat_TC_CPP_E_IntType_Reduction_Block.cpp
","0.015870"
"__16_rmat_TC_CPP_E_IntType_GlobalAdd_Block.cpp
","0.016307"
"__16_rmat_TC_CPP_E_IntType_GlobalAdd_Cyclic.cpp
","0.029632"
"__16_rmat_TC_CPP_E_IntType_Reduction_Cyclic.cpp
","0.028088"
"__16_rmat_TC_CPP_E_IntType_Critical_Block.cpp
","0.016134"
"__16_rmat_TC_CPP_E_IntType_Critical_Cyclic.cpp
","0.028637"
"__16_rmat_TC_CPP_V_IntType_GlobalAdd_Cyclic.cpp
","0.044481"
"__16_rmat_TC_CPP_V_IntType_Reduction_Cyclic.cpp
","0.046849"
"__16_rmat_TC_CPP_V_IntType_Critical_Block.cpp
","0.028541"
"__16_rmat_TC_CPP_V_IntType_GlobalAdd_Block.cpp
","0.027113"
"__16_rmat_TC_CPP_V_IntType_Critical_Cyclic.cpp
","0.043140"
"__16_rmat_TC_CPP_V_IntType_Reduction_Block.cpp
","0.027518"
