"filename","tc"
"ny_3090TC_E_Block_Persist_Reduction_IntType_CudaAtomic.cu
","0.513421"
"ny_3090TC_E_Warp_Persist_Reduction_IntType_CudaAtomic.cu
","7.023358"
"ny_3090TC_E_Thread_Persist_BlockAdd_IntType_CudaAtomic.cu
","25.168764"
"ny_3090TC_E_Block_NonPersist_Reduction_IntType_Atomic.cu
","0.223130"
"ny_3090TC_E_Warp_Persist_BlockAdd_IntType_CudaAtomic.cu
","6.515070"
"ny_3090TC_E_Warp_Persist_GlobalAdd_IntType_CudaAtomic.cu
","5.104025"
"ny_3090TC_E_Warp_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","1.445933"
"ny_3090TC_E_Thread_Persist_Reduction_IntType_Atomic.cu
","24.359985"
"ny_3090TC_E_Warp_Persist_BlockAdd_IntType_Atomic.cu
","6.578778"
"ny_3090TC_E_Block_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.096269"
"ny_3090TC_E_Block_Persist_GlobalAdd_IntType_Atomic.cu
","0.493336"
"ny_3090TC_E_Thread_Persist_GlobalAdd_IntType_CudaAtomic.cu
","14.912557"
"ny_3090TC_E_Warp_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","2.829812"
"ny_3090TC_E_Thread_Persist_Reduction_IntType_CudaAtomic.cu
","25.088395"
"ny_3090TC_E_Warp_Persist_Reduction_IntType_Atomic.cu
","7.089943"
"ny_3090TC_E_Warp_NonPersist_Reduction_IntType_Atomic.cu
","2.516746"
"ny_3090TC_E_Block_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.474374"
"ny_3090TC_E_Block_Persist_BlockAdd_IntType_Atomic.cu
","0.475298"
"ny_3090TC_E_Block_Persist_Reduction_IntType_Atomic.cu
","0.513463"
"ny_3090TC_E_Thread_NonPersist_GlobalAdd_IntType_Atomic.cu
","25.209686"
"ny_3090TC_E_Thread_NonPersist_Reduction_IntType_CudaAtomic.cu
","16.594667"
"ny_3090TC_E_Thread_Persist_GlobalAdd_IntType_Atomic.cu
","25.193161"
"ny_3090TC_E_Block_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.305860"
"ny_3090TC_E_Thread_NonPersist_Reduction_IntType_Atomic.cu
","25.968410"
"ny_3090TC_E_Warp_NonPersist_BlockAdd_IntType_Atomic.cu
","2.665163"
"ny_3090TC_E_Thread_Persist_BlockAdd_IntType_Atomic.cu
","24.394860"
