"filename","tc"
"16_rmat_TC_E_Block_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.003615"
"16_rmat_TC_E_Block_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.038741"
"16_rmat_TC_E_Thread_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.190365"
"16_rmat_TC_E_Warp_NonPersist_Reduction_IntType_Atomic.cu
","0.276543"
"16_rmat_TC_E_Block_Persist_BlockAdd_IntType_Atomic.cu
","0.051297"
"16_rmat_TC_E_Warp_Persist_Reduction_IntType_Atomic.cu
","0.276265"
"16_rmat_TC_E_Warp_Persist_BlockAdd_IntType_Atomic.cu
","0.270590"
"16_rmat_TC_E_Block_Persist_GlobalAdd_IntType_Atomic.cu
","0.053952"
"16_rmat_TC_E_Thread_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.185324"
"16_rmat_TC_E_Block_Persist_Reduction_IntType_Atomic.cu
","0.053001"
"16_rmat_TC_E_Thread_NonPersist_BlockAdd_IntType_Atomic.cu
","0.117573"
"16_rmat_TC_E_Thread_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.115916"
"16_rmat_TC_E_Thread_Persist_Reduction_IntType_Atomic.cu
","0.191708"
"16_rmat_TC_E_Warp_NonPersist_BlockAdd_IntType_Atomic.cu
","0.276970"
"16_rmat_TC_E_Warp_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.053390"
"16_rmat_TC_E_Warp_Persist_Reduction_IntType_CudaAtomic.cu
","0.276319"
"16_rmat_TC_E_Thread_Persist_GlobalAdd_IntType_Atomic.cu
","0.192214"
"16_rmat_TC_E_Warp_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.412383"
"16_rmat_TC_E_Thread_Persist_BlockAdd_IntType_Atomic.cu
","0.188327"
"16_rmat_TC_E_Block_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.024106"
"16_rmat_TC_E_Thread_Persist_Reduction_IntType_CudaAtomic.cu
","0.191590"
"16_rmat_TC_E_Thread_NonPersist_Reduction_IntType_Atomic.cu
","0.117604"
"16_rmat_TC_E_Block_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.074950"
"16_rmat_TC_E_Thread_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.159835"
"16_rmat_TC_E_Block_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.002391"
"16_rmat_TC_E_Block_NonPersist_Reduction_IntType_Atomic.cu
","0.050534"
"16_rmat_TC_E_Block_Persist_Reduction_IntType_CudaAtomic.cu
","0.052681"
"16_rmat_TC_E_Block_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.051050"
"16_rmat_TC_E_Warp_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.038514"
"16_rmat_TC_E_Warp_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.051758"
"16_rmat_TC_E_Thread_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.188281"
"16_rmat_TC_E_Block_NonPersist_BlockAdd_IntType_Atomic.cu
","0.052503"
"16_rmat_TC_E_Warp_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.038526"
"16_rmat_TC_E_Warp_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.270619"
"16_rmat_TC_E_Warp_Persist_GlobalAdd_IntType_Atomic.cu
","0.277292"
"16_rmat_TC_E_Thread_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.115805"
"16_rmat_TC_V_Warp_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.155427"
"16_rmat_TC_V_Block_Persist_GlobalAdd_IntType_Atomic.cu
","0.069159"
"16_rmat_TC_V_Warp_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.044089"
"16_rmat_TC_V_Thread_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.060786"
"16_rmat_TC_V_Block_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.035683"
"16_rmat_TC_V_Warp_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.040830"
"16_rmat_TC_V_Block_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.046003"
"16_rmat_TC_V_Block_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.065732"
"16_rmat_TC_V_Warp_Persist_BlockAdd_IntType_CudaAtomic.cu
","0.097434"
"16_rmat_TC_V_Thread_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.058261"
"16_rmat_TC_V_Warp_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.075308"
"16_rmat_TC_V_Thread_Persist_GlobalAdd_IntType_Atomic.cu
","0.061678"
"16_rmat_TC_V_Thread_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.015624"
"16_rmat_TC_V_Thread_Persist_Reduction_IntType_Atomic.cu
","0.060738"
"16_rmat_TC_V_Block_Persist_Reduction_IntType_CudaAtomic.cu
","0.066117"
"16_rmat_TC_V_Warp_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.075262"
"16_rmat_TC_V_Thread_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.031685"
"16_rmat_TC_V_Block_NonPersist_BlockAdd_IntType_Atomic.cu
","0.078976"
"16_rmat_TC_V_Block_Persist_BlockAdd_IntType_Atomic.cu
","0.066109"
"16_rmat_TC_V_Block_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.214338"
"16_rmat_TC_V_Block_Persist_GlobalAdd_IntType_CudaAtomic.cu
","0.041642"
"16_rmat_TC_V_Block_NonPersist_Reduction_IntType_Atomic.cu
","0.079456"
"16_rmat_TC_V_Thread_Persist_BlockAdd_IntType_Atomic.cu
","0.060781"
"16_rmat_TC_V_Warp_NonPersist_Reduction_IntType_Atomic.cu
","0.079600"
"16_rmat_TC_V_Warp_Persist_Reduction_IntType_CudaAtomic.cu
","0.097402"
"16_rmat_TC_V_Warp_NonPersist_BlockAdd_IntType_Atomic.cu
","0.079659"
"16_rmat_TC_V_Warp_Persist_Reduction_IntType_Atomic.cu
","0.097452"
"16_rmat_TC_V_Warp_Persist_GlobalAdd_IntType_Atomic.cu
","0.100689"
"16_rmat_TC_V_Thread_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.071581"
"16_rmat_TC_V_Thread_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.058164"
"16_rmat_TC_V_Block_Persist_Reduction_IntType_Atomic.cu
","0.066071"
"16_rmat_TC_V_Thread_Persist_Reduction_IntType_CudaAtomic.cu
","0.060729"
"16_rmat_TC_V_Block_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.035692"
"16_rmat_TC_V_Thread_NonPersist_BlockAdd_IntType_Atomic.cu
","0.058230"
"16_rmat_TC_V_Thread_NonPersist_Reduction_IntType_Atomic.cu
","0.058258"
"16_rmat_TC_V_Warp_Persist_BlockAdd_IntType_Atomic.cu
","0.097425"
"16_2d_TC_E_Block_NonPersist_BlockAdd_IntType_CudaAtomic.cu
","0.002408"
"16_2d_TC_E_Block_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.088046"
"16_2d_TC_E_Thread_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.802423"
"16_2d_TC_E_Warp_NonPersist_Reduction_IntType_Atomic.cu
","0.644644"
"16_2d_TC_E_Block_Persist_BlockAdd_IntType_Atomic.cu
","0.088092"
"16_2d_TC_E_Warp_Persist_Reduction_IntType_Atomic.cu
","0.747437"
"16_2d_TC_E_Warp_Persist_BlockAdd_IntType_Atomic.cu
","0.740068"
"16_2d_TC_E_Block_Persist_GlobalAdd_IntType_Atomic.cu
","0.101333"
"16_2d_TC_E_Thread_NonPersist_GlobalAdd_IntType_Atomic.cu
","0.800896"
"16_2d_TC_E_Block_Persist_Reduction_IntType_Atomic.cu
","0.100952"
"16_2d_TC_E_Thread_NonPersist_BlockAdd_IntType_Atomic.cu
","0.800588"
"16_2d_TC_E_Thread_NonPersist_Reduction_IntType_CudaAtomic.cu
","0.696399"
"16_2d_TC_E_Thread_Persist_Reduction_IntType_Atomic.cu
","0.817760"
"16_2d_TC_E_Warp_NonPersist_BlockAdd_IntType_Atomic.cu
","0.645842"
"16_2d_TC_E_Warp_NonPersist_GlobalAdd_IntType_CudaAtomic.cu
","0.683008"
