"filename","tc"
"omp_32_2d_TC_OMP_E_IntType_CriticalRed_Dynamic.cpp
","0.001400"
"omp_32_2d_TC_OMP_E_IntType_GlobalAdd_Default.cpp
","0.024236"
"omp_32_2d_TC_OMP_E_IntType_AtomicAdd_Dynamic.cpp
","0.010319"
"omp_32_2d_TC_OMP_E_IntType_Reduction_Default.cpp
","0.733195"
"omp_32_2d_TC_OMP_E_IntType_AtomicAdd_Default.cpp
","0.025233"
"omp_32_2d_TC_OMP_E_IntType_GlobalAdd_Dynamic.cpp
","0.009731"
"omp_32_2d_TC_OMP_E_IntType_ClauseRed_Default.cpp
","0.744803"
"omp_32_2d_TC_OMP_E_IntType_ClauseRed_Dynamic.cpp
","0.014338"
"omp_32_2d_TC_OMP_E_IntType_Reduction_Dynamic.cpp
","0.014836"
"omp_32_2d_TC_OMP_E_IntType_CriticalRed_Default.cpp
","0.003677"
"omp_32_2d_TC_OMP_V_IntType_Reduction_Default.cpp
","0.823049"
"omp_32_2d_TC_OMP_V_IntType_CriticalRed_Default.cpp
","0.005415"
"omp_32_2d_TC_OMP_V_IntType_ClauseRed_Dynamic.cpp
","0.064298"
"omp_32_2d_TC_OMP_V_IntType_Reduction_Dynamic.cpp
","0.064052"
"omp_32_2d_TC_OMP_V_IntType_CriticalRed_Dynamic.cpp
","0.002960"
"omp_32_2d_TC_OMP_V_IntType_GlobalAdd_Default.cpp
","0.118885"
"omp_32_2d_TC_OMP_V_IntType_GlobalAdd_Dynamic.cpp
","0.035752"
"omp_32_2d_TC_OMP_V_IntType_ClauseRed_Default.cpp
","0.829925"
"omp_32_2d_TC_OMP_V_IntType_AtomicAdd_Default.cpp
","0.055466"
"omp_32_2d_TC_OMP_V_IntType_AtomicAdd_Dynamic.cpp
","0.033264"
"omp_32_ny_TC_OMP_E_IntType_CriticalRed_Dynamic.cpp
","0.001420"
"omp_32_ny_TC_OMP_E_IntType_GlobalAdd_Default.cpp
","0.023721"
"omp_32_ny_TC_OMP_E_IntType_AtomicAdd_Dynamic.cpp
","0.009909"
"omp_32_ny_TC_OMP_E_IntType_Reduction_Default.cpp
","1.123190"
"omp_32_ny_TC_OMP_E_IntType_AtomicAdd_Default.cpp
","0.022938"
"omp_32_ny_TC_OMP_E_IntType_GlobalAdd_Dynamic.cpp
","0.009624"
"omp_32_ny_TC_OMP_E_IntType_ClauseRed_Default.cpp
","1.133606"
"omp_32_ny_TC_OMP_E_IntType_ClauseRed_Dynamic.cpp
","0.016161"
"omp_32_ny_TC_OMP_E_IntType_Reduction_Dynamic.cpp
","0.014972"
"omp_32_ny_TC_OMP_E_IntType_CriticalRed_Default.cpp
","0.003200"
"omp_32_ny_TC_OMP_V_IntType_Reduction_Default.cpp
","1.043030"
"omp_32_ny_TC_OMP_V_IntType_CriticalRed_Default.cpp
","0.003936"
"omp_32_ny_TC_OMP_V_IntType_ClauseRed_Dynamic.cpp
","0.044016"
"omp_32_ny_TC_OMP_V_IntType_Reduction_Dynamic.cpp
","0.044431"
"omp_32_ny_TC_OMP_V_IntType_CriticalRed_Dynamic.cpp
","0.002037"
"omp_32_ny_TC_OMP_V_IntType_GlobalAdd_Default.cpp
","0.113739"
"omp_32_ny_TC_OMP_V_IntType_GlobalAdd_Dynamic.cpp
","0.021068"
"omp_32_ny_TC_OMP_V_IntType_ClauseRed_Default.cpp
","1.046027"
"omp_32_ny_TC_OMP_V_IntType_AtomicAdd_Default.cpp
","0.112846"
"omp_32_ny_TC_OMP_V_IntType_AtomicAdd_Dynamic.cpp
","0.019455"
"omp_32_rmat_TC_OMP_E_IntType_CriticalRed_Dynamic.cpp
","0.001396"
"omp_32_rmat_TC_OMP_E_IntType_GlobalAdd_Default.cpp
","0.023852"
"omp_32_rmat_TC_OMP_E_IntType_AtomicAdd_Dynamic.cpp
","0.010254"
"omp_32_rmat_TC_OMP_E_IntType_Reduction_Default.cpp
","0.024749"
"omp_32_rmat_TC_OMP_E_IntType_AtomicAdd_Default.cpp
","0.018197"
"omp_32_rmat_TC_OMP_E_IntType_GlobalAdd_Dynamic.cpp
","0.010622"
"omp_32_rmat_TC_OMP_E_IntType_ClauseRed_Default.cpp
","0.024760"
"omp_32_rmat_TC_OMP_E_IntType_ClauseRed_Dynamic.cpp
","0.013774"
"omp_32_rmat_TC_OMP_E_IntType_Reduction_Dynamic.cpp
","0.014365"
"omp_32_rmat_TC_OMP_E_IntType_CriticalRed_Default.cpp
","0.002061"
"omp_32_rmat_TC_OMP_V_IntType_Reduction_Default.cpp
","0.057244"
"omp_32_rmat_TC_OMP_V_IntType_CriticalRed_Default.cpp
","0.017072"
"omp_32_rmat_TC_OMP_V_IntType_ClauseRed_Dynamic.cpp
","0.113083"
"omp_32_rmat_TC_OMP_V_IntType_Reduction_Dynamic.cpp
","0.114734"
"omp_32_rmat_TC_OMP_V_IntType_CriticalRed_Dynamic.cpp
","0.012385"
"omp_32_rmat_TC_OMP_V_IntType_GlobalAdd_Default.cpp
","0.056500"
"omp_32_rmat_TC_OMP_V_IntType_GlobalAdd_Dynamic.cpp
","0.093349"
"omp_32_rmat_TC_OMP_V_IntType_ClauseRed_Default.cpp
","0.056244"
"omp_32_rmat_TC_OMP_V_IntType_AtomicAdd_Default.cpp
","0.056378"
"omp_32_rmat_TC_OMP_V_IntType_AtomicAdd_Dynamic.cpp
","0.091158"
"omp_32_co_TC_OMP_E_IntType_CriticalRed_Dynamic.cpp
","0.001427"
"omp_32_co_TC_OMP_E_IntType_GlobalAdd_Default.cpp
","0.019739"
"omp_32_co_TC_OMP_E_IntType_AtomicAdd_Dynamic.cpp
","0.010583"
"omp_32_co_TC_OMP_E_IntType_Reduction_Default.cpp
","0.076598"
"omp_32_co_TC_OMP_E_IntType_AtomicAdd_Default.cpp
","0.019822"
"omp_32_co_TC_OMP_E_IntType_GlobalAdd_Dynamic.cpp
","0.010986"
"omp_32_co_TC_OMP_E_IntType_ClauseRed_Default.cpp
","0.074800"
"omp_32_co_TC_OMP_E_IntType_ClauseRed_Dynamic.cpp
","0.015169"
"omp_32_co_TC_OMP_E_IntType_Reduction_Dynamic.cpp
","0.015388"
"omp_32_co_TC_OMP_E_IntType_CriticalRed_Default.cpp
","0.001575"
"omp_32_co_TC_OMP_V_IntType_Reduction_Default.cpp
","0.089340"
"omp_32_co_TC_OMP_V_IntType_CriticalRed_Default.cpp
","0.043822"
"omp_32_co_TC_OMP_V_IntType_ClauseRed_Dynamic.cpp
","0.318888"
"omp_32_co_TC_OMP_V_IntType_Reduction_Dynamic.cpp
","0.315121"
"omp_32_co_TC_OMP_V_IntType_CriticalRed_Dynamic.cpp
","0.043853"
"omp_32_co_TC_OMP_V_IntType_GlobalAdd_Default.cpp
","0.095155"
"omp_32_co_TC_OMP_V_IntType_GlobalAdd_Dynamic.cpp
","0.246889"
"omp_32_co_TC_OMP_V_IntType_ClauseRed_Default.cpp
","0.089242"
"omp_32_co_TC_OMP_V_IntType_AtomicAdd_Default.cpp
","0.095077"
"omp_32_co_TC_OMP_V_IntType_AtomicAdd_Dynamic.cpp
","0.244581"
"omp_32_soc_TC_OMP_E_IntType_CriticalRed_Dynamic.cpp
","0.001405"
"omp_32_soc_TC_OMP_E_IntType_GlobalAdd_Default.cpp
","0.017762"
"omp_32_soc_TC_OMP_E_IntType_AtomicAdd_Dynamic.cpp
","0.010945"
"omp_32_soc_TC_OMP_E_IntType_Reduction_Default.cpp
","0.028741"
"omp_32_soc_TC_OMP_E_IntType_AtomicAdd_Default.cpp
","0.018060"
